POST_CODE,CITY_CODE,CITY_NAME,PROV_CODE,ZONE_CODE,COMP_NAME,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
T4V1A8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1A9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1B1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1B2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1B3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1B4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1B5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1B6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1B7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1B8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1B9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1C1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1C2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1C3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1C4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1C5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1C6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1C7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1C8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1C9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1E1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1E2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1E3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1E4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1E5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1E7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1E8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1E9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1G1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1G2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1G3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1G4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1G5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1G6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1G7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1G8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1G9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1H1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1H2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1H3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1H4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1H5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1H6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1H7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1H9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1J1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1J2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1J3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1J4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1J5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
